Const1,Const2,Const3,Chip,Multiplier,Total
E,E,E,0,1.0,3000.0
E,E,E,1,1.2,3600.0
E,E,E,2,1.4,4200.0
E,E,E,4,1.6,4800.0
E,E,E,6,1.8,5400.0
E,E,E,9,2.0,6000.0
E,E,E,12,2.2,6600.000000000001
E,E,E,16,2.4,7200.0
E,E,E,20,2.6,7800.0
E,E,E,25,2.8,8400.0
E,E,E,30,3.0,9000.0
E,E,E,36,3.2,9600.0
E,E,E,42,3.4,10200.0
E,E,E,48,3.6,10800.0
E,E,L0,0,1.0,2300.0
E,E,L0,1,1.2,2760.0
E,E,L0,2,1.4,3220.0
E,E,L0,4,1.6,3680.0
E,E,L0,6,1.8,4140.0
E,E,L0,9,2.0,4600.0
E,E,L0,12,2.2,5060.0
E,E,L0,16,2.4,5520.0
E,E,L0,20,2.6,5980.0
E,E,L0,25,2.8,6440.0
E,E,L0,30,3.0,6900.0
E,E,L0,36,3.2,7360.0
E,E,L0,42,3.4,7820.0
E,E,L0,48,3.6,8280.0
E,E,L1,0,1.0,2400.0
E,E,L1,1,1.2,2880.0
E,E,L1,2,1.4,3360.0
E,E,L1,4,1.6,3840.0
E,E,L1,6,1.8,4320.0
E,E,L1,9,2.0,4800.0
E,E,L1,12,2.2,5280.0
E,E,L1,16,2.4,5760.0
E,E,L1,20,2.6,6240.0
E,E,L1,25,2.8,6720.0
E,E,L1,30,3.0,7200.0
E,E,L1,36,3.2,7680.0
E,E,L1,42,3.4,8160.0
E,E,L1,48,3.6,8640.0
E,E,L2,0,1.0,2550.0
E,E,L2,1,1.2,3060.0
E,E,L2,2,1.4,3570.0
E,E,L2,4,1.6,4080.0
E,E,L2,6,1.8,4590.0
E,E,L2,9,2.0,5100.0
E,E,L2,12,2.2,5610.0
E,E,L2,16,2.4,6120.0
E,E,L2,20,2.6,6630.0
E,E,L2,25,2.8,7140.0
E,E,L2,30,3.0,7650.0
E,E,L2,36,3.2,8160.0
E,E,L2,42,3.4,8670.0
E,E,L2,48,3.6,9180.0
E,E,L3,0,1.0,2700.0
E,E,L3,1,1.2,3240.0
E,E,L3,2,1.4,3779.9999999999995
E,E,L3,4,1.6,4320.0
E,E,L3,6,1.8,4860.0
E,E,L3,9,2.0,5400.0
E,E,L3,12,2.2,5940.000000000001
E,E,L3,16,2.4,6480.0
E,E,L3,20,2.6,7020.0
E,E,L3,25,2.8,7559.999999999999
E,E,L3,30,3.0,8100.0
E,E,L3,36,3.2,8640.0
E,E,L3,42,3.4,9180.0
E,E,L3,48,3.6,9720.0
E,E,L4,0,1.0,2850.0
E,E,L4,1,1.2,3420.0
E,E,L4,2,1.4,3989.9999999999995
E,E,L4,4,1.6,4560.0
E,E,L4,6,1.8,5130.0
E,E,L4,9,2.0,5700.0
E,E,L4,12,2.2,6270.000000000001
E,E,L4,16,2.4,6840.0
E,E,L4,20,2.6,7410.0
E,E,L4,25,2.8,7979.999999999999
E,E,L4,30,3.0,8550.0
E,E,L4,36,3.2,9120.0
E,E,L4,42,3.4,9690.0
E,E,L4,48,3.6,10260.0
E,E,Y,0,1.0,2200.0
E,E,Y,1,1.2,2640.0
E,E,Y,2,1.4,3080.0
E,E,Y,4,1.6,3520.0
E,E,Y,6,1.8,3960.0
E,E,Y,9,2.0,4400.0
E,E,Y,12,2.2,4840.0
E,E,Y,16,2.4,5280.0
E,E,Y,20,2.6,5720.0
E,E,Y,25,2.8,6160.0
E,E,Y,30,3.0,6600.0
E,E,Y,36,3.2,7040.0
E,E,Y,42,3.4,7480.0
E,E,Y,48,3.6,7920.0
E,L0,L0,0,1.0,1600.0
E,L0,L0,1,1.2,1920.0
E,L0,L0,2,1.4,2240.0
E,L0,L0,4,1.6,2560.0
E,L0,L0,6,1.8,2880.0
E,L0,L0,9,2.0,3200.0
E,L0,L0,12,2.2,3520.0000000000005
E,L0,L0,16,2.4,3840.0
E,L0,L0,20,2.6,4160.0
E,L0,L0,25,2.8,4480.0
E,L0,L0,30,3.0,4800.0
E,L0,L0,36,3.2,5120.0
E,L0,L0,42,3.4,5440.0
E,L0,L0,48,3.6,5760.0
E,L0,L1,0,1.0,1700.0
E,L0,L1,1,1.2,2040.0
E,L0,L1,2,1.4,2380.0
E,L0,L1,4,1.6,2720.0
E,L0,L1,6,1.8,3060.0
E,L0,L1,9,2.0,3400.0
E,L0,L1,12,2.2,3740.0000000000005
E,L0,L1,16,2.4,4080.0
E,L0,L1,20,2.6,4420.0
E,L0,L1,25,2.8,4760.0
E,L0,L1,30,3.0,5100.0
E,L0,L1,36,3.2,5440.0
E,L0,L1,42,3.4,5780.0
E,L0,L1,48,3.6,6120.0
E,L0,L2,0,1.0,1850.0
E,L0,L2,1,1.2,2220.0
E,L0,L2,2,1.4,2590.0
E,L0,L2,4,1.6,2960.0
E,L0,L2,6,1.8,3330.0
E,L0,L2,9,2.0,3700.0
E,L0,L2,12,2.2,4070.0000000000005
E,L0,L2,16,2.4,4440.0
E,L0,L2,20,2.6,4810.0
E,L0,L2,25,2.8,5180.0
E,L0,L2,30,3.0,5550.0
E,L0,L2,36,3.2,5920.0
E,L0,L2,42,3.4,6290.0
E,L0,L2,48,3.6,6660.0
E,L0,L3,0,1.0,2000.0
E,L0,L3,1,1.2,2400.0
E,L0,L3,2,1.4,2800.0
E,L0,L3,4,1.6,3200.0
E,L0,L3,6,1.8,3600.0
E,L0,L3,9,2.0,4000.0
E,L0,L3,12,2.2,4400.0
E,L0,L3,16,2.4,4800.0
E,L0,L3,20,2.6,5200.0
E,L0,L3,25,2.8,5600.0
E,L0,L3,30,3.0,6000.0
E,L0,L3,36,3.2,6400.0
E,L0,L3,42,3.4,6800.0
E,L0,L3,48,3.6,7200.0
E,L0,L4,0,1.0,2150.0
E,L0,L4,1,1.2,2580.0
E,L0,L4,2,1.4,3010.0
